bedrooms,bathrooms,toilets,parking spaces,type,town,state,price
5,6,6,3,block of flats,Dakibiyu,Abuja,49000000
5,5,6,3,detached duplex,Lekki,Lagos,150000000
5,5,6,4,detached duplex,Lekki,Lagos,120000000
4,5,5,3,detached duplex,Ajah,Lagos,150000000
,,2,,house,Lekki,Lagos,25000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,120000000
4,4,5,2,terraced duplex,Lekki,Lagos,60000000
4,4,5,2,terraced duplex,Ajah,Lagos,50000000
4,4,5,2,semi-detached duplex,Lekki,Lagos,85000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,60000000
5,5,5,,detached duplex,Lekki,Lagos,150000000
3,3,4,2,terraced duplex,Lekki,Lagos,75000000
4,4,4,,detached duplex,Lekki,Lagos,135000000
4,5,5,,semi-detached duplex,Victoria Island (VI),Lagos,150000000
5,5,6,4,detached duplex,Lekki,Lagos,120000000
5,5,6,3,detached duplex,Ajah,Lagos,110000000
5,5,6,,detached duplex,Lekki,Lagos,180000000
4,4,5,3,detached duplex,Ajah,Lagos,62000000
3,4,5,3,terraced duplex,Life Camp,Abuja,55000000
4,4,5,4,semi-detached duplex,Ikoyi,Lagos,450000000
4,4,6,3,semi-detached duplex,Ajah,Lagos,43000000
3,5,5,5,terraced duplex,Lekki,Lagos,56500000
3,3,4,,block of flats,Ikoyi,Lagos,250000000
5,5,6,3,detached duplex,Ajah,Lagos,110000000
4,4,5,3,detached duplex,Ajah,Lagos,62000000
3,4,5,3,terraced duplex,Life Camp,Abuja,55000000
4,4,5,4,semi-detached duplex,Ikoyi,Lagos,450000000
5,5,6,,detached duplex,Lekki,Lagos,225000000
4,5,5,3,terraced duplex,Ikoyi,Lagos,250000000
5,5,6,4,detached duplex,Lekki,Lagos,150000000000
4,4,5,7,detached duplex,Gwarinpa,Abuja,55000000
4,5,5,6,terraced duplex,Lekki,Lagos,55000000
4,6,5,5,detached duplex,Lekki,Lagos,130000000
4,4,5,,semi-detached duplex,Ajah,Lagos,165000000
4,5,5,6,terraced duplex,Lekki,Lagos,55000000
5,6,6,3,detached duplex,Ikoyi,Lagos,600000000
5,5,6,,detached duplex,Lekki,Lagos,150000000
4,4,5,2,detached duplex,Lekki,Lagos,55000000
4,4,5,,detached duplex,Lekki,Lagos,200000000
4,4,5,3,terraced duplex,Lekki,Lagos,62000000
3,3,4,3,terraced duplex,Isolo,Lagos,55000000
4,4,5,3,semi-detached duplex,Ajah,Lagos,40000000
4,4,5,3,detached duplex,Ajah,Lagos,80000000
5,5,6,,detached duplex,Lekki,Lagos,140000000
4,5,5,6,detached duplex,Ikoyi,Lagos,650000000
5,5,6,,detached duplex,Lekki,Lagos,140000000
5,5,6,,semi-detached duplex,Maitama District,Abuja,370000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,70000000
4,4,5,,detached duplex,Katampe,Abuja,350000000
3,3,3,7,block of flats,Ogudu,Lagos,85000000
5,5,5,6,detached duplex,Ojodu,Lagos,150000000
5,5,5,5,detached duplex,Ikeja,Lagos,115000000
4,4,5,,terraced duplex,Ajah,Lagos,60000000
3,3,4,2,block of flats,Lekki,Lagos,40000000
5,5,6,2,terraced duplex,Lekki,Lagos,110000000
4,4,4,2,terraced duplex,Lekki,Lagos,65000000
3,,4,,semi-detached bungalow,Ibeju Lekki,Lagos,26500000
4,4,5,2,terraced duplex,Lekki,Lagos,135000000
6,6,7,6,detached duplex,Lekki,Lagos,650000000
4,5,5,3,semi-detached duplex,Lekki,Lagos,90000000
4,5,5,3,semi-detached duplex,Lekki,Lagos,90000000
5,6,6,4,semi-detached duplex,Lekki,Lagos,350000000
5,5,6,,detached duplex,Ikoyi,Lagos,650000000
4,4,4,4,detached bungalow,Ajah,Lagos,57000000
4,4,5,,detached duplex,Lekki,Lagos,65000000
5,6,6,4,semi-detached duplex,Lekki,Lagos,350000000
4,5,4,7,terraced duplex,Ajah,Lagos,54000000
3,3,3,2,terraced duplex,Lekki,Lagos,45000000
3,3,4,,terraced duplex,Ikoyi,Lagos,95000000
4,5,5,3,semi-detached duplex,Lekki,Lagos,75000000
6,7,7,5,detached duplex,Kado,Abuja,85000000
5,6,6,3,terraced duplex,Gwarinpa,Abuja,48500000
4,5,5,3,semi-detached duplex,Lekki,Lagos,75000000
5,5,6,5,detached duplex,Ogudu,Lagos,240000000
4,5,5,3,semi-detached duplex,Lekki,Lagos,85000000
4,5,5,3,semi-detached duplex,Lekki,Lagos,85000000
5,6,6,3,house,Gwarinpa,Abuja,48500000
5,5,6,,house,Lekki,Lagos,140000000
4,4,5,3,terraced duplex,Ajah,Lagos,45000000
4,4,5,3,house,Wuye,Abuja,50000000
4,4,5,4,house,Apo,Abuja,50000000
4,4,5,4,house,Life Camp,Abuja,95000000
4,4,5,,house,Garki,Abuja,100000000
4,4,5,3,detached bungalow,Ajah,Lagos,40000000
5,5,6,,house,Lekki,Lagos,140000000
4,4,5,3,terraced duplex,Ajah,Lagos,45000000
4,4,5,3,house,Wuye,Abuja,50000000
4,4,5,4,house,Apo,Abuja,50000000
4,4,5,4,house,Life Camp,Abuja,95000000
4,4,5,,house,Garki,Abuja,100000000
4,4,5,,detached duplex,Lekki,Lagos,130000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,150000000
5,5,5,5,detached duplex,Lekki,Lagos,170000000
7,4,4,,block of flats,Ketu,Lagos,75000000
4,4,5,4,detached duplex,Ibeju Lekki,Lagos,101000000
5,5,6,,detached duplex,Lekki,Lagos,160000000
3,,,,terraced duplex,Lekki,Lagos,32000000
5,5,6,5,detached duplex,Lekki,Lagos,370000000
5,,6,,detached duplex,Jabi,Abuja,400000000
4,6,6,5,semi-detached duplex,Lekki,Lagos,95000000
5,5,6,5,detached duplex,Ajah,Lagos,140000000
4,4,5,,semi-detached duplex,Lekki,Lagos,160000000
7,7,8,5,detached duplex,Ibeju Lekki,Lagos,120000000
3,5,5,,terraced duplex,Lekki,Lagos,43500000
4,4,5,3,detached bungalow,Ajah,Lagos,40000000
5,7,7,5,detached duplex,Lekki,Lagos,180000000
5,5,6,5,detached duplex,Lekki,Lagos,260000000
4,6,6,5,semi-detached duplex,Lekki,Lagos,150000000
4,6,6,,detached duplex,Lekki,Lagos,110000000
3,3,4,2,terraced duplex,Ajah,Lagos,45000000
3,3,3,,block of flats,Ipaja,Lagos,55000000
4,4,5,,semi-detached duplex,Lekki,Lagos,75000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,150000000
3,4,4,3,terraced duplex,Kubwa,Abuja,43000000
5,5,5,5,detached duplex,Asokoro District,Abuja,250000000
7,7,8,6,detached duplex,Wuye,Abuja,350000000
4,4,5,4,detached duplex,Life Camp,Abuja,75000000
4,4,4,2,detached duplex,Lekki,Lagos,85000000
4,4,5,5,semi-detached duplex,Lekki,Lagos,85000000
6,6,7,4,detached duplex,Kado,Abuja,77500000
5,5,5,3,semi-detached duplex,Ajah,Lagos,120000000
5,5,6,,detached duplex,Lekki,Lagos,400000000
6,6,7,,detached duplex,Lekki,Lagos,600000000
4,4,4,2,semi-detached duplex,Ajah,Lagos,160000000
3,3,4,3,terraced duplex,Ajah,Lagos,43000000
3,3,4,4,terraced duplex,Lekki,Lagos,80000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,220000000
4,,,,detached duplex,Lekki,Lagos,110000000
4,4,4,2,semi-detached duplex,Lekki,Lagos,105000000
4,,,,detached duplex,Lekki,Lagos,130000000
3,3,4,2,terraced duplex,Victoria Island (VI),Lagos,180000000
3,3,4,,block of flats,Agege,Lagos,150000000
4,,,,detached duplex,Lekki,Lagos,140000000
4,,,,semi-detached duplex,Lekki,Lagos,160000000
4,4,6,6,block of flats,Ajah,Lagos,39999999
5,,,,semi-detached duplex,Lekki,Lagos,350000000
5,,6,,terraced duplex,Jabi,Abuja,1300000000
4,4,4,3,detached duplex,Lekki,Lagos,110000000
5,,,,detached duplex,Lekki,Lagos,600000000
5,5,5,,detached duplex,Ibadan,Oyo,95000000
4,,,,detached duplex,Ajah,Lagos,75000000
4,5,5,,terraced duplex,Lekki,Lagos,65000000
4,4,4,2,terraced duplex,Lekki,Lagos,55000000
4,4,5,,detached duplex,Lekki,Lagos,200000000
2,2,3,,house,Sango Ota,Ogun,7000000
3,2,2,,detached bungalow,Sango Ota,Ogun,9000000
4,4,5,3,semi-detached duplex,Ajah,Lagos,40000000
5,,,,detached duplex,Lekki,Lagos,220000000
2,2,3,2,block of flats,Lekki,Lagos,48000000
4,,,,detached duplex,Ajah,Lagos,100000000
5,,,,detached duplex,Lekki,Lagos,150000000
5,5,6,,semi-detached duplex,Wuse,Abuja,165000000
5,,,,detached duplex,Lekki,Lagos,400000000
4,,,,detached duplex,Lekki,Lagos,85000000
5,5,6,600,house,Katampe,Abuja,11000000000
3,4,4,3,block of flats,Wuye,Abuja,50000000
4,,,,terraced duplex,Lekki,Lagos,65000000
5,6,6,10,semi-detached duplex,Wuse,Abuja,165000000
4,,,,detached duplex,Lekki,Lagos,85000000
4,,,,semi-detached duplex,Lekki,Lagos,95000000
4,,,,terraced duplex,Lekki,Lagos,55000000
4,,,,semi-detached duplex,Lekki,Lagos,38000000
5,,,,detached duplex,Ajah,Lagos,75000000
3,,,,block of flats,Lekki,Lagos,65000000
2,,,,block of flats,Lekki,Lagos,60000000
4,,,,terraced duplex,Agege,Lagos,60000000
,,,,Block of flats,Lekki,Lagos,65000000
3,3,4,4,terraced duplex,Lekki,Lagos,80000000
2,,,,block of flats,Ajah,Lagos,40000000
,,,,block of flats,Ajah,Lagos,30000000
3,3,4,4,terraced duplex,Lekki,Lagos,75000000
4,5,5,5,semi-detached duplex,Ajah,Lagos,160000000
4,4,5,5,detached duplex,Lekki,Lagos,80000000
5,,,,detached duplex,Ikoyi,Lagos,950000000
5,,,,detached duplex,Lekki,Lagos,160000000
5,,,,detached duplex,Lekki,Lagos,350000000
4,,,,semi-detached duplex,Lekki,Lagos,155000000
3,,4,,house,Oluyole,Oyo,23000000
3,2,2,,block of flats,Ipaja,Lagos,32000000
4,5,5,,detached bungalow,Ipaja,Lagos,13000000
5,6,6,3,house,Gwarinpa,Abuja,55500000
6,7,7,5,detached duplex,Kado,Abuja,85000000
5,6,6,3,detached duplex,Lekki,Lagos,87000000
4,4,5,3,detached duplex,Lekki,Lagos,95000000
5,5,6,,semi-detached duplex,Lekki,Lagos,350000000
4,4,5,3,terraced duplex,Lekki,Lagos,62000000
4,3,4,7,semi-detached duplex,Lekki,Lagos,260000000
3,4,4,2,terraced duplex,Ajah,Lagos,40000000
6,6,7,7,detached duplex,Lekki,Lagos,165000000
4,,5,2,terraced duplex,Lekki,Lagos,58000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,95000000
5,6,6,,house,Lekki,Lagos,135000000
4,5,5,,house,Ajah,Lagos,125000000
3,3,4,,block of flats,Ajah,Lagos,90000000
5,5,6,,detached duplex,Lekki,Lagos,400000000
5,5,6,4,detached duplex,Lekki,Lagos,160000000
5,5,6,4,detached duplex,Lekki,Lagos,120000000
4,4,5,2,semi-detached duplex,Lekki,Lagos,85000000
5,5,6,4,detached duplex,Lekki,Lagos,210000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,78000000
5,5,6,5,detached duplex,Lekki,Lagos,200000000
5,5,6,4,detached duplex,Lekki,Lagos,280000000
5,6,6,4,detached duplex,Lekki,Lagos,650000000
4,4,5,2,terraced duplex,Ikoyi,Lagos,230000000
5,5,6,3,detached duplex,Lekki,Lagos,135000000
4,4,5,3,terraced duplex,Lekki,Lagos,57000000
4,5,5,4,semi-detached bungalow,Ajah,Lagos,35000000
,,,,Block of flats,Lekki,Lagos,450000000
3,4,4,3,house,Lekki,Lagos,57000000
2,3,3,3,house,Lekki,Lagos,47000000
,,,,Block of flats,Lekki,Lagos,650000000
5,5,5,,detached duplex,Ikeja,Lagos,150000000
4,5,5,3,terraced duplex,Lekki,Lagos,175000000
5,6,6,4,semi-detached duplex,Lekki,Lagos,360000000
4,4,5,,detached duplex,Ajah,Lagos,140000000
2,2,3,5,terraced duplex,Ajah,Lagos,35000000
3,3,4,2,terraced duplex,Magboro,Ogun,26000000
5,5,6,,detached duplex,Lekki,Lagos,370000000
4,,,,detached bungalow,Ipaja,Lagos,50000000
,,,,Block of flats,Maryland,Lagos,75000000
5,5,6,5,detached duplex,Ikoyi,Lagos,850000000
4,4,5,2,terraced duplex,Lekki,Lagos,100000000
5,5,6,4,semi-detached duplex,Lekki,Lagos,400000000
5,5,6,5,detached duplex,Lekki,Lagos,198000000
3,3,4,3,block of flats,Lekki,Lagos,42500000
2,2,3,,block of flats,Lekki,Lagos,65000000
2,2,3,,block of flats,Lekki,Lagos,37500000
2,2,3,,detached duplex,Lekki,Lagos,60000000
3,5,5,3,detached bungalow,Lekki,Lagos,25000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,90000000
,2,2,2,block of flats,Lekki,Lagos,27500000
4,4,5,,semi-detached duplex,Ajah,Lagos,160000000
4,4,5,,semi-detached duplex,Lekki,Lagos,105000000
5,5,6,4,detached duplex,Lekki,Lagos,225000000
2,2,3,4,terraced duplex,Lekki,Lagos,42000000
4,4,5,5,semi-detached duplex,Lekki,Lagos,120000000
3,3,4,2,house,Ajah,Lagos,32900000
2,2,3,2,terraced duplex,Lekki,Lagos,36000000
3,3,4,2,terraced duplex,Lekki,Lagos,40000000
5,5,6,7,detached duplex,Ajah,Lagos,190000000
5,5,6,,detached duplex,Lekki,Lagos,80000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,150000000
3,4,4,,terraced duplex,Ajah,Lagos,56000000
5,5,6,,detached duplex,Lekki,Lagos,200000000
4,5,5,3,terraced duplex,Lekki,Lagos,130000000
5,7,7,7,detached duplex,Magodo,Lagos,350000000
3,4,4,,terraced duplex,Ikoyi,Lagos,350000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,80000000
4,4,5,,semi-detached duplex,Lekki,Lagos,185000000
5,5,6,4,detached duplex,Lekki,Lagos,120000000
2,3,3,,terraced duplex,Lekki,Lagos,37000000
4,4,5,2,semi-detached duplex,Lekki,Lagos,95000000
5,5,7,5,detached duplex,Lekki,Lagos,500000000
5,5,6,4,semi-detached duplex,Lekki,Lagos,350000000
4,4,5,2,terraced duplex,Lekki,Lagos,160000000
5,5,6,8,detached duplex,Magboro,Ogun,50000000
4,4,5,3,terraced duplex,Lekki,Lagos,120000000
5,5,6,5,detached duplex,Lekki,Lagos,190000000
5,,,,detached duplex,Jabi,Abuja,600000000
5,5,6,,detached duplex,Ajah,Lagos,75000000
5,,6,,detached duplex,Lekki,Lagos,400000000
5,5,6,,detached duplex,Lekki,Lagos,130000000
5,,5,5,detached duplex,Lekki,Lagos,180000000
4,,,,house,Mbora (Nbora),Abuja,180000000
4,,5,,detached duplex,Lekki,Lagos,160000000
5,5,6,,semi-detached duplex,Lekki,Lagos,360000000
4,4,5,4,terraced duplex,Ikoyi,Lagos,230000000
3,,3,3,terraced duplex,Lekki,Lagos,43000000
5,5,6,4,detached duplex,Ajah,Lagos,145000000
4,4,5,2,terraced duplex,Kaura,Abuja,75000000
2,2,2,3,block of flats,Mabushi,Abuja,60000000
5,5,6,,detached duplex,Ikoyi,Lagos,650000000
5,5,6,,detached duplex,Lekki,Lagos,170000000
4,4,5,2,terraced duplex,Lekki,Lagos,185000000
4,4,5,,terraced duplex,Lekki,Lagos,160000000
5,5,6,4,detached duplex,Lekki,Lagos,400000000
5,5,6,4,detached duplex,Lekki,Lagos,400000000
5,5,6,4,detached duplex,Lekki,Lagos,350000000
5,5,6,3,terraced duplex,Lekki,Lagos,250000000
4,4,5,,detached duplex,Magboro,Ogun,70000000
4,4,5,2,terraced duplex,Victoria Island (VI),Lagos,140000000
5,5,6,3,terraced duplex,Life Camp,Abuja,90000000
6,7,8,10,detached duplex,Lekki,Lagos,750000000
5,5,6,4,detached duplex,Ajah,Lagos,130000000
19,19,24,,1 detached duplex,Ikeja,Lagos,375000000
4,,5,,house,Wuse 2,Abuja,260000000
4,4,5,,terraced duplex,Ikoyi,Lagos,180000000
5,6,7,5,detached duplex,Port Harcourt,Rivers,120000000
4,,5,,house,Ibadan,Oyo,70000000
4,5,5,4,terraced duplex,Apo,Abuja,75000000
5,6,6,3,detached duplex,Akure,Ondo,60000000
5,4,5,5,detached duplex,Ibadan,Oyo,35000000
6,6,7,7,detached duplex,Lekki,Lagos,165000000
4,3,4,4,detached bungalow,Ibadan,Oyo,14000000
5,5,5,5,detached duplex,Magodo,Lagos,300000000
4,4,5,,terraced duplex,Lekki,Lagos,60000000
4,4,5,4,terraced duplex,Mabushi,Abuja,100000000
5,5,5,5,detached duplex,Magodo,Lagos,250000000
4,,,,semi-detached duplex,Lekki,Lagos,110000000
5,,,,semi-detached duplex,Lekki,Lagos,350000000
5,5,6,,detached duplex,Ajah,Lagos,120000000
4,4,5,,detached duplex,Lekki,Lagos,110000000
2,2,3,2,block of flats,Kubwa,Abuja,300000000
5,5,6,,semi-detached duplex,Lekki,Lagos,120000000
5,5,6,,detached duplex,Ajah,Lagos,73000000
5,,,,detached duplex,Lekki,Lagos,450000000
4,4,5,2,detached duplex,Lekki,Lagos,95000000
6,,,,detached duplex,Ikoyi,Lagos,450000000
4,,,,terraced duplex,Ajah,Lagos,55000000
5,,,,detached duplex,Lekki,Lagos,175000000
4,,,,detached duplex,Victoria Island (VI),Lagos,350000000
5,,,,detached duplex,Lekki,Lagos,500000000
5,,,,detached duplex,Ikoyi,Lagos,1000000000
4,3,4,,detached bungalow,Gbagada,Lagos,110000000
5,,,,detached duplex,Ajah,Lagos,70000000
5,,,,detached duplex,Lekki,Lagos,150000000
4,,,,detached duplex,Lekki,Lagos,170000000
5,,,,semi-detached duplex,Lekki,Lagos,260000000
5,,,,detached duplex,Lekki,Lagos,600000000
6,,,,detached duplex,Lekki,Lagos,800000000
4,4,5,,terraced duplex,Lekki,Lagos,65000000
3,3,3,4,house,Ado-Odo/Ota,Ogun,9500000
3,3,4,2,terraced duplex,Ajah,Lagos,50000000
4,4,5,,detached duplex,Lekki,Lagos,95000000
3,,,,terraced duplex,Surulere,Lagos,70000000
5,5,6,8,detached duplex,Ajah,Lagos,125000000
4,,,,semi-detached duplex,Ikeja,Lagos,225000000
3,,,,terraced duplex,Ikoyi,Lagos,350000000
5,5,6,5,detached duplex,Guzape District,Abuja,230000000
5,5,6,,detached duplex,Lekki,Lagos,230000000
3,4,4,4,semi-detached duplex,Lekki,Lagos,95000000
4,4,5,2,terraced duplex,Guzape District,Abuja,120000000
5,,6,,detached duplex,Apo,Abuja,200000000
5,5,6,,detached duplex,Ikoyi,Lagos,800000000
4,4,5,3,terraced duplex,Life Camp,Abuja,110000000
4,4,5,4,detached duplex,Lekki,Lagos,160000000
6,5,6,8,detached duplex,Alimosho,Lagos,55000000
4,4,5,4,semi-detached duplex,Ajah,Lagos,70000000
6,6,7,5,detached duplex,Lekki,Lagos,270000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,70000000
5,5,6,4,detached duplex,Lekki,Lagos,150000000
5,5,6,5,detached duplex,Lekki,Lagos,120000000
4,4,5,5,detached duplex,Lekki,Lagos,130000000
5,5,6,,detached duplex,Ajah,Lagos,110000000
4,4,5,3,detached duplex,Ajah,Lagos,80000000
5,5,6,6,house,Ajah,Lagos,150000000
4,4,5,,detached duplex,Lekki,Lagos,85000000
5,5,6,,detached duplex,Ajah,Lagos,120000000
5,5,6,,detached duplex,Ajah,Lagos,120000000
3,3,4,2,terraced duplex,Lekki,Lagos,60000000
4,4,4,5,semi-detached duplex,Lekki,Lagos,80000000
6,,,,terraced duplex,Ikoyi,Lagos,195500000
5,5,6,4,semi-detached duplex,Guzape District,Abuja,310000000
4,4,5,5,detached duplex,Lekki,Lagos,140000000
4,4,4,4,semi-detached duplex,Lekki,Lagos,75000000
5,5,5,5,detached duplex,Epe,Lagos,10500000
5,5,6,,detached duplex,Ikoyi,Lagos,720000000
4,,5,,semi-detached duplex,Surulere,Lagos,130000000
3,,,,detached bungalow,Ibeju Lekki,Lagos,26500000
3,,,,block of flats,Agege,Lagos,45000000
3,,,,terraced duplex,Lekki,Lagos,70000000
5,5,6,4,semi-detached duplex,Ikeja,Lagos,160000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,85000000
4,4,5,,detached bungalow,Lekki,Lagos,75000000
4,,5,,terraced duplex,Guzape District,Abuja,120000000
3,10,10,,block of flats,Ibadan,Oyo,13000000
5,5,6,4,semi-detached duplex,Ikoyi,Lagos,360000000
5,5,6,4,detached duplex,Lekki,Lagos,130000000
3,3,4,2,terraced duplex,Ikoyi,Lagos,360000000
4,3,4,2,terraced duplex,Ikoyi,Lagos,250000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,150000000
4,4,5,,terraced duplex,Victoria Island (VI),Lagos,190000000
4,4,5,,detached duplex,Victoria Island (VI),Lagos,350000000
5,5,6,,semi-detached duplex,Ikoyi,Lagos,400000000
4,3,4,,detached bungalow,Gbagada,Lagos,110000000
4,4,5,,detached duplex,Lekki,Lagos,165000000
5,5,6,,detached duplex,Lekki,Lagos,230000000
5,5,6,,detached duplex,Lekki,Lagos,400000000
5,5,6,,detached duplex,Ikoyi,Lagos,950000000
5,5,6,,detached duplex,Ikoyi,Lagos,850000000
4,4,5,3,terraced duplex,Ikoyi,Lagos,270000000
4,4,5,,terraced duplex,Lekki,Lagos,220000000
4,4,5,,terraced duplex,Lekki,Lagos,50000000
2,2,3,,block of flats,Lekki,Lagos,65000000
4,4,5,,terraced duplex,Ikoyi,Lagos,600000000
5,5,6,,detached duplex,Lekki,Lagos,200000000
,,,,Block of flats,Lekki,Lagos,900000000
3,3,4,2,block of flats,Ajah,Lagos,600000000
4,4,5,,terraced duplex,Lekki,Lagos,55000000
5,5,6,,detached duplex,Lekki,Lagos,360000000
4,4,5,2,terraced duplex,Ikoyi,Lagos,160000000
5,5,6,,semi-detached duplex,Ajah,Lagos,100000000
4,4,5,,detached duplex,Lekki,Lagos,95000000
2,3,3,,terraced duplex,Lekki,Lagos,37000000
5,5,6,,detached duplex,Ikoyi,Lagos,1700000000
4,4,5,,terraced duplex,Ikoyi,Lagos,180000000
,,2,,block of flats,Lekki,Lagos,90000000
5,5,6,,detached duplex,Lekki,Lagos,180000000
5,,,,detached duplex,Lekki,Lagos,200000000
5,,,,house,Lekki,Lagos,200000000
5,5,6,,detached duplex,Ikoyi,Lagos,450000000
5,5,6,,detached duplex,Lekki,Lagos,180000000
5,5,6,,semi-detached duplex,Lekki,Lagos,120000000
5,5,6,,detached duplex,Lekki,Lagos,220000000
4,4,5,,terraced duplex,Lekki,Lagos,55000000
5,5,6,,detached duplex,Lekki,Lagos,450000000
5,5,6,,detached duplex,Lekki,Lagos,160000000
5,5,6,,detached duplex,Lekki,Lagos,360000000
4,4,5,,terraced duplex,Lekki,Lagos,75000000
6,6,7,,detached duplex,Lekki,Lagos,800000000
5,5,6,,detached duplex,Lekki,Lagos,165000000
4,4,5,,terraced duplex,Ikoyi,Lagos,270000000
5,5,6,,detached duplex,Lekki,Lagos,165000000
4,4,5,,terraced duplex,Ikoyi,Lagos,270000000
5,,,,detached duplex,Lekki,Lagos,225000000
5,5,6,6,detached duplex,Lekki,Lagos,120000000
5,5,6,6,detached duplex,Lekki,Lagos,350000000
4,,5,,detached duplex,Ikorodu,Lagos,75000000
5,,,,detached duplex,Lekki,Lagos,240000000
5,,,,detached duplex,Lekki,Lagos,170000000
5,,,,detached duplex,Lekki,Lagos,230000000
3,3,3,,detached bungalow,Ikorodu,Lagos,7000000
3,3,4,,detached bungalow,Ikorodu,Lagos,12000000
4,,,,detached duplex,Lekki,Lagos,95000000
5,5,6,5,detached duplex,Ikeja,Lagos,300000000
4,,,,detached duplex,Lekki,Lagos,108000000
5,,,,detached duplex,Lekki,Lagos,230000000
5,,,,detached duplex,Lekki,Lagos,180000000
6,,,,detached duplex,Ikorodu,Lagos,50000000
3,3,4,10,detached bungalow,Ibeju Lekki,Lagos,38000000
6,,7,,detached duplex,Alimosho,Lagos,50000000
4,4,5,3,terraced duplex,Lekki,Lagos,120000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,90000000
5,5,7,8,detached duplex,Lekki,Lagos,450000000
4,4,5,3,terraced duplex,Lekki,Lagos,75000000
5,5,6,,semi-detached duplex,Magodo,Lagos,95000000
4,4,5,,terraced duplex,Lekki,Lagos,175000000
5,5,6,5,detached duplex,Lekki,Lagos,400000000
4,4,5,,terraced duplex,Ikoyi,Lagos,450000000
5,5,6,,detached duplex,Lekki,Lagos,130000000
3,3,3,4,terraced duplex,Lekki,Lagos,80000000
5,5,6,,detached duplex,Ajah,Lagos,75000000
3,3,4,2,terraced duplex,Lokogoma District,Abuja,35000000
,,,,Block of flats,Surulere,Lagos,100000000
,,,,Block of flats,Surulere,Lagos,100000000
4,,,,terraced duplex,Ojodu,Lagos,51550000
4,4,5,2,terraced duplex,Lekki,Lagos,160000000
3,4,,,house,Ogudu,Lagos,95000000
4,4,5,5,detached duplex,Guzape District,Abuja,230000000
5,5,6,,detached duplex,Lekki,Lagos,260000000
4,4,5,,detached duplex,Ikeja,Lagos,155000000
5,5,6,,detached duplex,Ikeja,Lagos,230000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,75000000
5,5,6,6,detached duplex,Ikoyi,Lagos,750000000
14,14,15,20,1 detached duplex,Katampe,Abuja,650000000
5,,6,8,detached duplex,Gwarinpa,Abuja,160000000
4,4,5,2,terraced duplex,Gbagada,Lagos,75000000
6,6,7,15,detached duplex,Katampe,Abuja,750000000
4,,,,semi-detached duplex,Lekki,Lagos,65000000
5,5,6,5,detached duplex,Wuye,Abuja,250000000
5,5,,10,detached duplex,Jahi,Abuja,230000000
8,8,10,10,house,Lekki,Lagos,800000000
5,5,6,9,detached duplex,Gwarinpa,Abuja,160000000
4,4,5,4,terraced duplex,Guzape District,Abuja,125000000
5,5,6,8,detached duplex,Guzape District,Abuja,250000000
3,3,3,3,terraced duplex,Ajah,Lagos,32000000
3,4,4,3,semi-detached duplex,Lekki,Lagos,120000000
6,6,7,10,detached duplex,Guzape District,Abuja,400000000
3,24,25,15,block of flats,Garki,Abuja,550000000
16,16,20,20,1 terraced duplex,Guzape District,Abuja,450000000
4,4,5,4,terraced duplex,Guzape District,Abuja,85000000
5,,6,,detached duplex,Enugu,Enugu,175000000
7,7,8,15,detached duplex,Asokoro District,Abuja,480000000
3,3,4,4,terraced duplex,Jahi,Abuja,120000000
5,5,6,6,detached duplex,Ikoyi,Lagos,750000000
4,4,5,,detached duplex,Ajah,Lagos,175000000
10,10,12,20,1 detached duplex,Maitama District,Abuja,1600000000
4,4,5,10,semi-detached duplex,Kado,Abuja,200000000
4,4,5,7,semi-detached duplex,Wuse 2,Abuja,250000000
5,5,6,7,semi-detached duplex,Guzape District,Abuja,300000000
4,4,5,4,terraced duplex,Guzape District,Abuja,125000000
5,5,6,6,detached duplex,Guzape District,Abuja,230000000
5,5,6,5,detached duplex,Katampe,Abuja,390000000
3,2,2,15,block of flats,Alimosho,Lagos,45000000
3,3,4,4,terraced duplex,Gwarinpa,Abuja,55000000
2,2,3,2,terraced duplex,Lekki,Lagos,75000000
3,3,3,8,house,Ibeju Lekki,Lagos,25000000
5,5,5,5,detached duplex,Ajah,Lagos,100000000
10,10,10,6,1 detached duplex,Lekki,Lagos,530000000
5,6,7,5,detached duplex,Mowe Town,Ogun,16000000
5,,6,,detached duplex,Lekki,Lagos,190000000
3,3,,,semi-detached duplex,Durumi,Abuja,75000000
3,,4,,block of flats,Enugu,Enugu,85000000
3,,,,detached bungalow,Gaduwa,Abuja,55000000
5,4,4,4,detached duplex,Ajah,Lagos,120000000
